Name,Representation,Count,ESG_Categories
9_sufficient_liquidity_generated operations_meet,"sufficient,liquidity,generated operations,meet,liquidity requirements,capital,requirements,needs,sufficient meet,cash cash,cash generated,cash equivalents",77,Social
22_network_networking_cloud_service provider,"network,networking,cloud,service provider,networks,fi,wi fi,wi,access,high performance,ethernet,solutions",57,"Environmental,Social"
26_lending_opportunities_direct lending_opportunistic,"lending,opportunities,direct lending,opportunistic,strategy,investors,middle,capital,attractive,spectrum,flexible,credit",55,"Social,Governance"
36_expenditures_capital expenditures_capital_construction,"expenditures,capital expenditures,capital,construction,expenditures 2019,plant,projects,contributions,holding costs,million development,continued invest,development canyon",49,Social
39_accounting policies_critical_policies_critical accounting,"accounting policies,critical,policies,critical accounting,accounting,policies estimates,judgments,estimates,believe following,understanding,subjective,believe",48,"Environmental,Social"
73_dealer_laws_self driving_driving,"dealer,laws,self driving,driving,sell vehicles,regulations,self,safety,vehicles,associations,dealer licenses,state",37,"Social,Governance"
104_intellectual property_intellectual_property rights_rights,"intellectual property,intellectual,property rights,rights,property,patents,protect,infringement,exploit,secrets,trade secrets,proprietary",30,Social
106_measures_non gaap_gaap_financial measures,"measures,non gaap,gaap,financial measures,gaap financial,gaap measures,non,reconciliation,measures section,financial data,adjusted,financial",30,Social
131_consolidated balance_term liabilities_sheets_balance sheets,"consolidated balance,term liabilities,sheets,balance sheets,liabilities,accrued,balance,accrued liabilities,long term,payable,long,payable consolidated",27,Social
143_community_ubiquiti community_ubiquiti_marketing,"community,ubiquiti community,ubiquiti,marketing,improving,traditional,employ,sales force,force,direct sales,rapid,awareness",26,Social
148_significant accounting_accounting policies_summary significant_policies,"significant accounting,accounting policies,summary significant,policies,summary,policies notes,accounting,note2,significant,ii,note description,policies note",25,"Environmental,Social"
201_sheet arrangements_balance sheet_sheet_balance,"sheet arrangements,balance sheet,sheet,balance,arrangements,entities,purpose,unconsolidated,special purpose,structured,unconsolidated entities,purpose entities",20,Social
203_margin year_discontinued_discontinued operations_healthcare business,"margin year,discontinued,discontinued operations,healthcare business,spvss business,spvss,healthcare,ebitda margin,margin,second quarter,gain sale,sale",20,Social
229_respectively billion_million 2017_2016 respectively_billion million,"respectively billion,million 2017,2016 respectively,billion million,2016 million,billion,2018 billion,billion billion,race,gender race,significantly increased,million 2016",18,Social
236_ads_ad_price ad_advertising revenue,"ads,ad,price ad,advertising revenue,ads delivered,marketers,number ads,average price,advertising,displayed,increase number,engagement",18,Social
290_autopilot_driver_drivers_self driving,"autopilot,driver,drivers,self driving,convenience,driving,safety,features,air software,self,software updates,dangerous",15,Social
326_competition_competitors_competitive_emerging,"competition,competitors,competitive,emerging,competitive landscape,face competition,greater financial,compete,landscape,affordability,areas,greater",14,Social
328_variable pay_wages_wages variable_selling general,"variable pay,wages,wages variable,selling general,higher wages,variable,administrative expenses,pay,higher,additional expenses,general administrative,selling",14,Social
377_revolving_revolving credit_facility_credit facility,"revolving,revolving credit,facility,credit facility,credit,2019 revolving,borrowing capacity,borrowing,capacity,065,facility billion,credit million",12,Social
391_assurance_procedures_cells_mbs,"assurance,procedures,cells,mbs,european union,implemented,union,controls,disrupt operations,designed battery,able detect,addition products",11,"Social,Governance"
445_additionally_assert_auction_financed,"additionally,assert,auction,financed,deposit,rights,connection,previously,addition,acquired,recognized,",9,Social
475_equality_low carbon_carbon future_ohana,"equality,low carbon,carbon future,ohana,sustainable low,equal,sustainable,carbon,community,groups,benefiting,future employees",8,"Environmental,Social"
502_revenue related_billed_event driven_training,"revenue related,billed,event driven,training,fee revenues,administering,consulting implementation,net fee,events corporate,fees receive,recurring event,related fees",8,"Social,Governance"
507_communities_redevelopment_communities redevelopment_competitive position,"communities,redevelopment,communities redevelopment,competitive position,multifamily,upgrades,extensive,define,area,apartment,building,community",8,Social
508_million information_technology expense_information technology_expense million,"million information,technology expense,information technology,expense million,technology expenses,technology,expenses million,information,bulk,bulk internet,million higher,utility",8,Social
