Name,Representation,Count,ESG_Categories
2_security_data_systems_reputation,"security,data,systems,reputation,attacks,information,customers,access,errors,unauthorized",662,"Social,Governance"
3_intellectual_intellectual property_property_rights,"intellectual,intellectual property,property,rights,property rights,patents,patent,infringement,protect,proprietary",482,Social
14_export_import_policies_countries,"export,import,policies,countries,export import,laws,compliance,sanctions,encryption,products",165,"Social,Governance"
16_achieve_profitability_able_capital,"achieve,profitability,able,capital,achieve sustain,future,benefits,losses,sustain,profitability future",155,Social
19_personnel_employees_retain_key,"personnel,employees,retain,key,qualified,hire,working,attract,sales personnel,culture",135,Social
30_dividends_cash dividends_repurchase_repurchase program,"dividends,cash dividends,repurchase,repurchase program,pay dividends,dividend,program,pay,dividends foreseeable,foreseeable future",104,"Social,Governance"
33_cloud_platform_aws_infrastructure,"cloud,platform,aws,infrastructure,public cloud,vendors,networks,azure,amazon,amazon web",101,"Environmental,Social"
36_laws_regulations_safety_laws regulations,"laws,regulations,safety,laws regulations,federal,requirements,state local,federal state,state,subject",98,"Social,Governance"
49_expenses_growth_resources_development,"expenses,growth,resources,development,infrastructure,programming,additional,costs,strain,significant",61,"Environmental,Social"
56_support_systems_dependent_highly dependent,"support,systems,dependent,highly dependent,information systems,information,technology systems,information technology,rely,business highly",42,Social
61_dashers_pay model_pay_model,"dashers,pay model,pay,model,dasher,dasher pay,classification,tips,independent contractors,independent",38,Social
62_brexit_eu_withdrawal_kingdom,"brexit,eu,withdrawal,kingdom,united kingdom,european union,union,uncertainty,exit,european",37,Social
87_online activities_marketing_social media_content,"online activities,marketing,social media,content,social,community,public relations,engage various,connect,exchange information",10,Social
95_services related_high risk_risks_business risks,"services related,high risk,risks,business risks,safety,environmental,provide products,reviews,hazardous,inherent",9,Social
